Ticker,Nome,Setor,SubSetor,Segmento,Preco_Atual,Valor_Mercado,Volume,Qtd_Acoes,DY_Atual,P_L,P_VP,P_Receita,P_Ativo,P_Cap_Giro,P_Ativo_Circ_Liq,P_EBIT,P_EBITDA,EV_EBIT,EV_EBITDA,ROE,ROA,ROIC,Giro_Ativos,Margem_Bruta,Margem_EBITDA,Margem_EBIT,Margem_Liquida,Div_Liq_Ativos,Div_Liq_EBIT,Div_Liq_EBITDA,Liquidez_Corrente,Passivos_Ativos,PL_Ativos,CAGR_Receitas_5a,CAGR_Lucros_5a,Receita_Liquida,Lucro_Liquido,EBIT,Div_0A,Div_1A,Div_2A,Div_3A,Div_4A,Div_5A,Div_6A,Consistencia_5A,Score_CS,Classificacao_CS,Graham,GrahamBR,Bazin,Lynch,Agf,Graham_dif,GrahamBR_dif,Bazin_dif,Lynch_dif,Agf_dif,VPA,change,closingPrice,LPA,eps,high,lastYearHigh,lastYearLow,low,pe,priceOpen,priceToSalesRatio,volumeAvg
AMER3,Americanas SA - Em Recuperacao Judicial,Consumo Cíclico,Comércio,Produtos Diversos,5.55,1111360898.0,1569300.0,200245299.0,0.0,2.94,0.27,0.09426186138245071,0.08,-0.13,0.43,4.41,0.81,11.14,2.03,9.1,2.6,1.78,0.81,25.59,11.7,2.14,3.21,0.41,6.73,1.23,1.7,0.71,0.29,3.98,0.0,11790143772.897196,378463615.10999995,252009273.9229025,0.0,0.0,0.0,0.0,62.0963,0.0,0.0,1.0,0,Pessimo,29.71,24.25,0.0,1.89,172.49,435.23,337.01,-100.0,-65.95,3007.92,20.75,0.36,5.53,1.89,0.67,5.57,8.82,3.37,5.15,8.27,5.15,0.09,1574097
AMOB3,Automob Participacoes SA,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,12.4,469787005.0,5100.0,37886057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2595.29,-6030.26,2660.36,104.73,3.6,0.0,-46.82,-57.58,0.0,-0.01,0.0,0.19,3.32,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,12.4,0.0,-8.1,12.4,15.76,10.59,11.7,0.0,11.9,0.0,26353
ANIM3,Anima Holding SA,Consumo Cíclico,Diversos,Serviços Educacionais,2.93,1183335024.0,5843700.0,403868805.0,2.77,7.69,0.49,0.2860603873994232,0.11,-0.15,1.3,1.11,1.08,5.03,4.9,6.36,1.45,11.91,0.39,63.39,26.47,25.75,3.71,1.74,3.93,3.82,1.49,0.72,0.23,23.12,0.0,4136661614.555256,153470145.9,1066067589.1891891,0.0813,0.0535,0.4713,0.0,0.0,0.0,0.0,2.0,0,Pessimo,7.16,5.84,1.35,0.38,1.46,144.25,99.43,-53.83,-87.03,-50.25,5.99,-1.35,2.97,0.38,0.41,2.97,5.29,1.92,2.8,7.2,2.84,0.29,10086517
ARML3,Armac Locacao Logistica e Servicos SA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,3.84,1330536546.0,511700.0,346494097.0,13.98,21.47,0.97,0.6634662744918277,0.22,-0.33,1.45,2.72,1.29,7.62,3.6,4.51,1.04,8.19,0.34,31.83,51.91,24.55,3.11,1.74,4.9,2.32,1.89,0.74,0.23,76.15,28.73,2005432072.6688104,62368937.46,489167847.7941176,0.4742,0.0751,0.2428,0.1187,0.288,0.0673,0.0,5.0,1,Pessimo,4.01,3.27,8.95,0.23,2.2,4.42,-14.74,133.0,-93.97,-42.72,3.97,-0.26,3.85,0.18,0.24,3.88,6.3,2.64,3.7,16.23,3.78,0.67,1019877
ASAI3,Sendas Distribuidora SA,Consumo não Cíclico,Comércio e Distribuição,Alimentos,9.08,12297888336.0,8201900.0,1354393401.0,1.15,12.74,1.94,0.15858023339764996,0.26,-0.42,6.52,2.8,2.0,5.49,3.92,15.21,2.07,19.12,1.66,18.05,7.93,5.66,1.24,1.86,2.69,1.92,1.12,0.86,0.14,16.49,-7.15,77549944734.67741,961619314.7099999,4392102977.142858,0.1043,0.1072,0.0,0.0871,0.125,0.1103,0.0,4.0,1,Pessimo,8.66,7.07,1.74,0.66,1.19,-4.67,-22.16,-80.83,-92.74,-86.86,4.69,-0.77,9.15,0.71,0.72,9.27,10.6,6.91,9.01,12.66,9.04,0.16,11232863
ATED3,Atom Educacao e Editora Ord Shs,,,,1.17,0.0,7100.0,23804898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,1.17,0.0,0.0,1.18,2.51,1.05,1.1,0.0,1.17,0.0,7540
AURA33,Aura Minerals Bdr,Materiais Básicos,Mineração,Minerais Metálicos,145.1,7118586391.0,534961.0,83836843.0,1.68,-62.76,19.71,0.0,3.26,-4.78,-380.49,11.36,0.0,11.7,0.0,64.46,17.26,60.28,0.77,60.05,0.0,52.95,22.42,0.42,0.28,0.0,1.06,0.73,0.27,26.63,31.66,0.0,-113425532.04270236,626636125.9683099,0.0,2.7167,1.0675,0.883,0.243,2.1853,0.0,5.0,1,Pessimo,0.0,0.0,40.63,-2.78,19.71,-100.0,-100.0,-72.0,-101.91,-86.42,6.73,0.0,145.1,-2.11,0.0,146.36,179.29,47.85,140.55,0.0,144.0,5.64,976105
AURE3,Auren Energia SA,Utilidade Pública,Energia Elétrica,Energia Elétrica,12.0,12604536000.0,3600200.0,1050377974.0,0.0,-11.57,1.1,0.9360130000000001,0.27,-0.32,15.93,7.86,4.11,20.33,10.65,-9.47,-2.33,4.02,0.29,13.06,22.75,11.91,-8.09,1.74,12.48,6.53,1.12,0.73,0.25,41.69,0.0,13466197584.862602,-1089415384.6153846,1603630534.351145,0.0,0.057,0.4,3.0,0.1,0.0,0.0,4.0,1,Pessimo,0.0,0.0,0.0,-1.04,9.88,-100.0,-100.0,-100.0,-108.67,-17.66,10.96,0.08,11.99,-1.04,-1.04,12.0,14.66,9.95,11.41,0.0,11.63,0.94,3192863
AVLL3,Alphaville SA,Consumo Cíclico,Construção Civil,Incorporações,6.9,53911087.0,0.0,7813202.0,0.0,-0.5,-0.22,0.09515000000000001,0.04,-0.07,-0.6,0.43,1.21,5.29,15.01,-44.46,-8.42,19.33,0.44,35.35,7.86,22.3,-19.03,0.0,4.87,13.8,0.85,1.17,-0.19,26.55,0.0,566590509.7214923,-107822174.0,125374620.93023255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,98.11,80.1,0.0,-13.79,0.0,1321.82,1060.91,-100.0,-299.86,-100.0,-31.02,0.0,6.9,-13.79,-15.9,0.0,44.5,6.22,0.0,0.0,0.0,0.1,397
AZEV3,Azevedo & Travassos SA,Bens Industriais,Construção e Engenharia,Construção Pesada,8.39,346385436.0,1116300.0,37899458.0,0.0,-1.41,2.25,1.7020109999999995,0.61,-0.95,-7.47,-2.02,-26.65,-1.3,-17.24,-160.34,-43.39,-86.96,0.36,18.48,-6.37,-84.17,-120.71,0.43,-0.39,-5.13,0.81,0.73,0.27,68.75,0.0,203515392.08618516,-245663429.78723407,-171477938.61386138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pessimo,0.0,0.0,0.0,-5.97,0.0,-100.0,-100.0,-100.0,-171.16,-100.0,3.72,1.08,8.3,-5.97,-22.43,9.45,15.0,1.23,8.23,0.0,8.8,1.7,1793003
